"Conteudo"
"CONSULTA DO SISTEMA DE SEGURANCA"
"Data: 2026-07-13 17:56:57"
"Pasta de logs: C:\Users\mauri\Desktop\Projeto_seguranca\logs"
"Ultima leitura: 2026-07-13 17:56:55"
"[ESTATISTICAS]"
"Eventos: 10445"
"Erros: 0"
"Execucoes: 10445"
"[MODULOS ENCONTRADOS]"
"1. AUTENTICACAO: 2734 eventos"
"2. BASE_DADOS: 2682 eventos"
"3. CAMARAS: 2521 eventos"
"4. SENSORES: 2508 eventos"
"[UTILIZADORES]"
"1. admin"
"2. afonso_henriques"
"3. alexandre_frota"
"4. alice_bastos"
"5. ana_rodrigues_14"
"6. ana_rodrigues_19"
"7. ana_rodrigues_21"
"8. ana_rodrigues_70"
"9. ana_rodrigues_94"
"10. ana_rodrigues_95"
"... e mais 224 utilizadores"
"[EVENTOS POR TIPO]"
"EVENTO: 3891"
"ERRO: 2134"
"AUTENTICACAO: 1279"
"CRITICO: 984"
"CONSULTA: 667"
"SEGURANCA: 634"
"BACKUP: 591"
"EXCLUSAO: 136"
"DESATIVACAO: 129"
"[ULTIMOS EVENTOS]"
"[EXCLUSAO] 17:56:55 | BASE_DADOS | Utilizador 'patricia_reis_61' excluído por elimina | INFO"
"[EXCLUSAO] 17:56:55 | BASE_DADOS | Utilizador 'bruno_fonseca_92' excluído exclusão de | INFO"
"[EXCLUSAO] 17:56:55 | BASE_DADOS | Utilizador 'diogo_sampaio_36' excluído remoção dev | INFO"
"[EXCLUSAO] 17:56:55 | BASE_DADOS | Utilizador 'pedro_costa_95' excluído eliminação ma | INFO"
"[EXCLUSAO] 17:56:55 | BASE_DADOS | Utilizador 'patricia_reis_83' excluído remoção def | INFO"
