"ID","Data/Hora","Status","Módulo","Observação","Utilizador"
"1","2026-07-13 18:48:54","INFO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'admin'.","admin"
"2","2026-07-13 18:48:54","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'nuno_gomes'.","nuno_gomes"
"3","2026-07-13 18:48:54","CRITICO","AUTENTICACAO","Login efetuado com sucesso pelo utilizador 'convidado_01'.","convidado_01"
"4","2026-07-13 18:48:54","INFO","AUTENTICACAO","Sessão expirada pelo utilizador 'admin'.","admin"
"5","2026-07-13 18:48:54","INFO","AUTENTICACAO","Sessão expirada pelo utilizador 'gestor_seguranca'.","gestor_seguranca"
"6","2026-07-13 18:48:54","CRITICO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'mauri'.","mauri"
"7","2026-07-13 18:48:54","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'ana_silva'.","ana_silva"
"8","2026-07-13 18:48:54","INFO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'gestor_seguranca'.","gestor_seguranca"
"9","2026-07-13 18:48:54","ATENCAO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'gestor_seguranca'.","gestor_seguranca"
"10","2026-07-13 18:48:54","ATENCAO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'admin'.","admin"
"11","2026-07-13 18:48:54","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'api_gateway'.","api_gateway"
"12","2026-07-13 18:48:54","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'gestor_seguranca'.","gestor_seguranca"
"13","2026-07-13 18:48:54","CRITICO","AUTENTICACAO","Login efetuado com sucesso pelo utilizador 'api_gateway'.","api_gateway"
"14","2026-07-13 18:48:54","INFO","AUTENTICACAO","Sessão expirada pelo utilizador 'convidado_01'.","convidado_01"
"15","2026-07-13 18:48:54","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'mauri'.","mauri"
"16","2026-07-13 18:48:54","INFO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'api_gateway'.","api_gateway"
"17","2026-07-13 18:48:54","INFO","AUTENTICACAO","Sessão expirada pelo utilizador 'mauri'.","mauri"
"18","2026-07-13 18:48:54","CRITICO","AUTENTICACAO","Sessão expirada pelo utilizador 'mauri'.","mauri"
"19","2026-07-13 18:48:54","ATENCAO","AUTENTICACAO","Tentativa de brute-force bloqueada pelo utilizador 'api_gateway'.","api_gateway"
"20","2026-07-13 18:48:54","INFO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'mauri'.","mauri"
"21","2026-07-13 18:48:54","ATENCAO","AUTENTICACAO","Falha na palavra-passe pelo utilizador 'gestor_seguranca'.","gestor_seguranca"
