"10. 17:56:55","EXCLUSAO","Utilizador 'patricia_reis_83' excluído remoção def","👤 patricia_reis_83","INFO"
"AUTENTICACAO","2734","26.2%","17:56:55",""
"BASE_DADOS","2682","25.7%","17:56:55",""
"CAMARAS","2521","24.1%","17:56:55",""
"SENSORES","2508","24.0%","17:56:55",""
"1. 17:56:55","EVENTO","Gravação iniciada por movimento na Câmara_01.","WARNING",""
"2. 17:56:55","CRITICO","Perda de sinal de vídeo na Câmara_04.","CRITICAL",""
"3. 17:56:55","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"4. 17:56:55","EVENTO","Perda de sinal de vídeo na Câmara_04.","INFO",""
"5. 17:56:55","ERRO","Falha de armazenamento no DVR_02.","CRITICAL",""
"6. 17:56:55","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"7. 17:56:55","EVENTO","Perda de sinal de vídeo na Câmara_04.","INFO",""
"8. 17:56:55","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"9. 17:56:55","EVENTO","Gravação iniciada por movimento na Câmara_01.","INFO",""
"10. 17:56:55","CRITICO","Perda de sinal de vídeo na Câmara_04.","CRITICAL",""
"1. 17:56:55","EVENTO","Movimento detetado no Corredor B.","INFO",""
"2. 17:56:55","CRITICO","Temperatura da Sala de Servidores acima do normal.","CRITICAL",""
"3. 17:56:55","EVENTO","Porta Principal aberta.","INFO",""
"4. 17:56:55","EVENTO","Temperatura da Sala de Servidores acima do normal.","INFO",""
"5. 17:56:55","EVENTO","Temperatura da Sala de Servidores acima do normal.","INFO",""
"6. 17:56:55","EVENTO","Temperatura da Sala de Servidores acima do normal.","INFO",""
"7. 17:56:55","EVENTO","Sensor de fumos ativo.","WARNING",""
"8. 17:56:55","EVENTO","Sensor de fumos ativo.","INFO",""
"9. 17:56:55","EVENTO","Movimento detetado no Corredor B.","WARNING",""
"10. 17:56:55","EVENTO","Porta Principal aberta.","INFO",""
